filename,chroma_stft_mean,chroma_stft_var,spectral_centroid_mean,spectral_centroid_var,spectral_bandwidth_mean,spectral_bandwidth_var,rolloff_mean,rolloff_var,zero_crossing_rate_mean,zero_crossing_rate_var
2010-2\segment_1.wav,0.30438307,0.08957982,1727.6917345973152,641200.176644421,2043.7168254310575,347346.5548131061,3515.082382303812,3208784.1968029705,0.0713162713885524,0.0025182792073342695
2010-2\segment_10.wav,0.374816,0.092397936,2616.654652092266,1201519.282035933,2820.9292834312973,306812.922136607,6020.145361319268,4516677.107940742,0.10769511056253402,0.008847656457404577
2010-2\segment_11.wav,0.325287,0.0951194,2550.9482463583045,997897.6979594035,2510.9494704278627,177895.8844718999,5181.038909061775,2963130.0321744285,0.12260151542113557,0.007554325766308544
2010-2\segment_12.wav,0.37729856,0.08671058,3158.8724150133594,421550.616360133,2823.242165878253,71116.69164016591,6689.894568068335,1196584.895315568,0.1651638357458109,0.004167803183677114
2010-2\segment_13.wav,0.360727,0.08691268,2853.655558696835,705535.3365677816,2835.713812481463,172197.92142431915,6299.5607323961085,2587581.0158404605,0.1263373495217678,0.004933908810234677
2010-2\segment_14.wav,0.3199126,0.08734977,2231.7067940483716,569407.8392604794,2689.4468798734847,226253.427336684,5239.251838196064,3278848.6680338844,0.08256765913100388,0.0027264685406634495
2010-2\segment_15.wav,0.35323605,0.08887578,2864.112944788189,512477.6473073522,2763.615989729763,171518.8468921815,6125.28669686153,2445358.9751057816,0.14070464035560346,0.003901994956120866
2010-2\segment_16.wav,0.3595983,0.09602592,2215.6469350674724,931712.6418243735,2446.1350484042446,296156.4029240085,4774.252316598935,4359031.344290431,0.09014557447371699,0.00445485627524469
2010-2\segment_2.wav,0.31439367,0.094179325,2502.5468366581154,833701.2518178554,2743.915711997547,186827.4653103954,5682.613015510667,3107153.9487891486,0.09856210628025969,0.004797088570862881
2010-2\segment_3.wav,0.38017285,0.09297384,2501.141603838822,995215.3208678524,2546.782302623767,186497.73498864306,5243.417434007518,3321917.4682038613,0.1113027612582286,0.0068092307227131475
2010-2\segment_4.wav,0.35022953,0.0895742,2530.9221241300042,769381.2230895422,2679.683803472494,332430.084451631,5625.082873423165,3815716.8533388446,0.11011806794370824,0.004452158526121655
2010-2\segment_5.wav,0.33646315,0.09534926,2493.3853107820064,1174904.37750888,2579.1825988335436,319074.32393105223,5242.100047295404,4432032.633771405,0.11309080328226208,0.007556913273299763
2010-2\segment_6.wav,0.2815806,0.092313014,2367.4268389751032,900547.9308137455,2635.646523007623,304988.5942494585,5446.665445528167,4165062.7865552274,0.0962816855138562,0.005558468215060466
2010-2\segment_7.wav,0.2956949,0.09051821,2552.3823797925847,1073509.1034876248,2720.9957337211504,367964.6693671851,5763.064377612956,4816423.862749036,0.11267006191188504,0.006040237123151586
2010-2\segment_8.wav,0.33588174,0.091737896,2134.111711894153,1079854.37009195,2444.781469189378,221677.93323166744,4496.484072346333,3518082.498442444,0.08477098629353601,0.007450780447583082
2010-2\segment_9.wav,0.2634811,0.090459235,1982.7403373858847,800058.4170959973,2281.1288391893518,245713.03093614077,4016.5290459316952,3484844.658640728,0.0856246271123581,0.004396927405888545
